Start Date,End Date,Rate
"01/08/2024","31/08/2024",8%
"01/06/2024","31/07/2024",7.9%
"01/04/2024","31/05/2024",7.8%
"01/03/2024","31/03/2024",7.7%
"01/01/2024","29/02/2024",7.6%
"01/12/2023","31/12/2023",7.5%
"01/09/2023","30/11/2023",7.3%
"01/06/2023","31/08/2023",7.1%
"01/03/2023","31/05/2023",6.9%
"01/12/2022","28/02/2023",6.5%
"01/09/2022","30/11/2022",6.3%
"01/03/2022","31/08/2022",4.5%
"01/01/2022","28/02/2022",4.4%
"01/10/2021","31/12/2021",4.1%
"01/09/2021","30/09/2021",4.2%
"01/07/2021","31/08/2021",5.3%
"01/09/2020","30/06/2021",5.6%
"01/09/2019","31/08/2020",5.4%
"01/09/2018","31/08/2019",6.3%
"01/09/2017","31/08/2018",6.1%
"01/09/2016","31/08/2017",4.6%
"01/09/2015","31/08/2016",3.9%
"01/09/2014","31/08/2015",5.5%
"01/09/2013","31/08/2014",6.3%
"01/09/2012","31/08/2013",6.6%
